Rk,Player,Tm,FantPos,Age,G,GS,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Y/A,Rush_TD,Tgt,Rec,Yds,Y/R,Receiving_TD,Fmb,FL,Total_TD,2:00 PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Player_Touches,Player Yards,Team Tuches,Team Yard,Team TD,% of Team Touch,% of Team Yard,% of Team TD
1,Christian McCaffrey,SFO,RB,27,16,16,0,0,0,0,0,272,1459,5.36,14,83,67,564,8.42,7,3,2,21,,,324,391.3,399.3,357.8,157,1,1,355,2023,910,6807,60,0.39,0.30,0.35
2,CeeDee Lamb,DAL,WR,24,17,17,0,0,0,0,0,14,113,8.07,2,181,135,1749,12.96,12,3,2,14,1,,268,403.2,411.2,335.7,131,1,2,195,1862,1004,6343,50,0.19,0.29,0.28
4,Tyreek Hill,MIA,WR,29,16,16,0,0,0,0,0,6,15,2.5,0,171,119,1799,15.12,13,1,1,13,,,257,376.4,380.4,316.9,120,2,4,177,1814,953,6899,57,0.19,0.26,0.23
6,Raheem Mostert,MIA,RB,31,15,15,0,0,0,0,0,209,1012,4.84,18,32,25,175,7,3,4,1,21,,,243,267.7,274.7,255.2,80,2,6,241,1187,953,6899,57,0.25,0.17,0.37
7,Amon-Ra St. Brown,DET,WR,24,16,16,0,0,0,0,0,4,24,6,0,164,119,1515,12.73,10,1,1,10,,,212,330.9,334.9,271.4,78,3,7,168,1539,1025,6794,57,0.16,0.23,0.18
9,Mike Evans,TAM,WR,30,17,17,0,0,0,0,0,0,0,,0,136,79,1255,15.89,13,0,0,13,,,204,282.5,285.5,243,70,4,9,136,1255,924,5404,36,0.15,0.23,0.36
11,Sam LaPorta,DET,TE,22,17,14,0,0,0,0,0,1,4,4,0,120,86,889,10.34,10,0,0,10,2,,153,239.3,242.3,196.3,65,1,11,121,893,1025,6794,57,0.12,0.13,0.18
12,Travis Etienne,JAX,RB,24,17,17,0,0,0,0,0,267,1008,3.78,11,73,58,476,8.21,1,0,0,12,2,,224,282.4,288.4,253.4,62,3,12,340,1484,977,5652,39,0.35,0.26,0.31
13,Kyren Williams,LAR,RB,23,12,11,0,0,0,0,0,228,1144,5.02,12,48,32,206,6.44,3,3,2,15,1,,223,255,263,239,61,4,13,276,1350,953,6064,43,0.29,0.22,0.35
14,Puka Nacua,LAR,WR,22,17,17,0,0,0,0,0,12,89,7.42,0,160,105,1486,14.15,6,1,0,6,,,194,298.5,301.5,246,60,5,14,172,1575,953,6064,43,0.18,0.26,0.14
15,D.J. Moore,CHI,WR,26,17,17,0,0,0,0,0,4,21,5.25,1,136,96,1364,14.21,8,1,1,9,,,191,286.5,290.5,238.5,58,6,15,140,1385,802,4855,33,0.17,0.29,0.27
16,Derrick Henry,TEN,RB,29,17,17,2,3,14,2,0,280,1167,4.17,12,36,28,214,7.64,0,0,0,12,,,219,246.7,252.7,232.7,57,5,16,316,1381,868,5210,29,0.36,0.27,0.41
17,Joe Mixon,CIN,RB,27,17,17,0,0,0,0,0,257,1034,4.02,9,64,52,376,7.23,3,0,0,12,1,,215,267,273,241,54,6,17,321,1410,914,5574,40,0.35,0.25,0.30
19,Breece Hall,NYJ,RB,22,17,16,0,0,0,0,0,223,994,4.46,5,95,76,591,7.78,4,2,0,9,1,,215,290.5,296.5,252.5,53,7,19,318,1585,778,4339,19,0.41,0.37,0.47
20,A.J. Brown,PHI,WR,26,17,17,0,0,0,0,0,0,0,,0,158,106,1456,13.74,7,2,2,7,,,184,289.6,294.6,236.6,51,8,20,158,1456,869,5600,46,0.18,0.26,0.15
